Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
"San Luis Trust Bank, FSB",San Luis Obispo,California,34783,First California Bank,18-Feb-11,12-Sep-16
Charter Oak Bank,Napa,California,57855,Bank of Marin,18-Feb-11,12-Sep-12
Citizens Bank of Effingham,SPuerto Ricoingfield,Georgia,34601,Heritage Bank of the South,18-Feb-11,21-Mar-14
Habersham Bank,Clarkesville,Georgia,151,SCBT National Association,18-Feb-11,23-Feb-18
Canyon National Bank,Palm SPuerto Ricoings,California,34692,Pacific Puerto Ricoemier Bank,11-Feb-11,19-Aug-14
Badger State Bank,Cassville,Wisconsin,13272,Royal Bank,11-Feb-11,12-Sep-12
Peoples State Bank,Hamtramck,Michigan,14939,First Michigan Bank,11-Feb-11,20-Feb-18
Sunshine State Community Bank,Port Orange,Florida,35478,"Puerto Ricoemier American Bank, N.A.",11-Feb-11,8-Aug-16
Community First Bank Chicago,Chicago,Illinois,57948,Northbrook Bank & Trust Company,4-Feb-11,13-Apr-18
North Georgia Bank,Watkinsville,Georgia,35242,BankSouth,4-Feb-11,19-Sep-17
American Trust Bank,Roswell,Georgia,57432,Renasant Bank,4-Feb-11,21-Mar-14
First Community Bank,Taos,New Mexico,12261,"U.S. Bank, N.A.",28-Jan-11,12-Sep-12
FirsTier Bank,Louisville,Colorado,57646,No Acquirer,28-Jan-11,12-Sep-12
Evergreen State Bank,Stoughton,Wisconsin,5328,McFarland State Bank,28-Jan-11,12-Sep-12
The First State Bank,Camargo,Oklahoma,2303,Bank 7,28-Jan-11,13-Nov-17
United Western Bank,Denver,Colorado,31293,First-Citizens Bank & Trust Company,21-Jan-11,12-Sep-12
The Bank of Asheville,Asheville,North Carolina,34516,First Bank,21-Jan-11,21-Mar-14
CommunitySouth Bank & Trust,Easley,South Carolina,57868,"CertusBank, National Association",21-Jan-11,6-Jun-16
EnterPuerto Ricoise Banking Company,McDonough,Georgia,19758,No Acquirer,21-Jan-11,21-Mar-14
Oglethorpe Bank,Brunswick,Georgia,57440,Bank of the Ozarks,14-Jan-11,13-Nov-17
Legacy Bank,Scottsdale,Arizona,57820,EnterPuerto Ricoise Bank & Trust,7-Jan-11,12-Apr-16
First Commercial Bank of Florida,Orlando,Florida,34965,First Southern Bank,7-Jan-11,6-Jun-16
Community National Bank,Lino Lakes,Minnesota,23306,Farmers & Merchants Savings Bank,17-Dec-10,10-Nov-16
First Southern Bank,Batesville,Arkansas,58052,Southern Bank,17-Dec-10,20-Aug-12
"United Americas Bank, N.A.",Atlanta,Georgia,35065,State Bank and Trust Company,17-Dec-10,17-Oct-15
"Appalachian Community Bank, FSB",McCaysville,Georgia,58495,Peoples Bank of East Tennessee,17-Dec-10,21-Mar-14
Chestatee State Bank,Dawsonville,Georgia,34578,Bank of the Ozarks,17-Dec-10,21-Sep-15
"The Bank of Miami,N.A.",Coral Gables,Florida,19040,1st United Bank,17-Dec-10,21-Mar-14
Earthstar Bank,Southampton,Pennsylvania,35561,Polonia Bank,10-Dec-10,6-Oct-17
Paramount Bank,Farmington Hills,Michigan,34673,Level One Bank,10-Dec-10,21-Sep-15
First Banking Center,Burlington,Wisconsin,5287,First Michigan Bank,19-Nov-10,20-Aug-12
Allegiance Bank of North America,Bala Cynwyd,Pennsylvania,35078,VIST Bank,19-Nov-10,26-Jul-17
Gulf State Community Bank,Carrabelle,Florida,20340,Centennial Bank,19-Nov-10,12-Dec-16
Copper Star Bank,Scottsdale,Arizona,35463,"Stearns Bank, N.A.",12-Nov-10,20-Aug-12
Darby Bank & Trust Co.,Vidalia,Georgia,14580,Ameris Bank,12-Nov-10,21-Mar-14
Tifton Banking Company,Tifton,Georgia,57831,Ameris Bank,12-Nov-10,21-Mar-14
First Vietnamese American Bank,Westminster,California,57885,Grandpoint Bank,5-Nov-10,12-Sep-12
Pierce Commercial Bank,Tacoma,Washington,34411,Heritage Bank,5-Nov-10,19-Oct-15
Western Commercial Bank,Woodland Hills,California,58087,First California Bank,5-Nov-10,12-Sep-16
K Bank,Randallstown,Maryland,31263,Manufacturers and Traders Trust Company (M&T Bank),5-Nov-10,20-Aug-12
"First Arizona Savings, A FSB",Scottsdale,Arizona,32582,No Acquirer,22-Oct-10,20-Aug-12
Hillcrest Bank,Overland Park,Kansas,22173,"Hillcrest Bank, N.A.",22-Oct-10,20-Aug-12
First Suburban National Bank,Maywood,Illinois,16089,Seaway Bank and Trust Company,22-Oct-10,21-Feb-18
